GivenName,SurnameCount,Female,Male,Gender,pVal
みつ子,2,2,0,f,0.044897086918354
みどり,44,44,0,f,0.00100000004749745
みなみ,4,4,0,f,0.00201574829407036
みのり,12,12,0,f,8.19047318856292E-09
みゆき,40,40,0,f,0.00100000004749745
むつみ,4,4,0,f,0.00201574829407036
めぐみ,59,59,0,f,0.00100000004749745
ももこ,3,3,0,f,0.00951321329921484
やす子,4,4,0,f,0.00201574829407036
やよい,7,7,0,f,1.91762446775101E-05
ゆい,2,2,0,f,0.044897086918354
ゆうき,2,1,1,b,0.378881573677063
ゆうこ,2,2,0,f,0.044897086918354
ゆう子,5,5,0,f,0.000427115563070402
ゆか,9,9,0,f,8.60957527493156E-07
ゆかり,54,54,0,f,0.00100000004749745
ゆき,6,6,0,f,9.05012275325134E-05
ユミ,3,3,0,f,0.00951321329921484
ゆみ,7,7,0,f,1.91762446775101E-05
ゆみ子,2,2,0,f,0.044897086918354
ユリ,2,2,0,f,0.044897086918354
ゆり,6,6,0,f,9.05012275325134E-05
ゆりえ,4,4,0,f,0.00201574829407036
ゆり子,4,4,0,f,0.00201574829407036
ようこ,2,2,0,f,0.044897086918354
よしみ,2,2,0,f,0.044897086918354
よし子,2,2,0,f,0.044897086918354
りえ,2,2,0,f,0.044897086918354
リカ,4,4,0,f,0.00201574829407036
りか,3,3,0,f,0.00951321329921484
りさ,2,2,0,f,0.044897086918354
りつ子,2,2,0,f,0.044897086918354
るな,2,2,0,f,0.044897086918354
ルミ,4,4,0,f,0.00201574829407036
るみ,3,3,0,f,0.00951321329921484
ルミ子,6,6,0,f,9.05012275325134E-05
るみ子,7,7,0,f,1.91762446775101E-05
るり子,2,2,0,f,0.044897086918354
レイ子,2,2,0,f,0.044897086918354
れい子,2,2,0,f,0.044897086918354
亜衣,4,4,0,f,0.00201574829407036
亜衣子,2,2,0,f,0.044897086918354
亜希,11,11,0,f,3.86544840580427E-08
亜希子,40,40,0,f,0.00100000004749745
亜季,5,5,0,f,0.000427115563070402
亜紀,24,24,0,f,0.00100000004749745
亜紀子,25,25,0,f,0.00100000004749745
亜貴子,2,2,0,f,0.044897086918354
亜弓,4,4,0,f,0.00201574829407036
亜沙美,4,4,0,f,0.00201574829407036
亜子,5,5,0,f,0.000427115563070402
亜樹,4,3,1,f,0.0320056080818176
亜純,2,2,0,f,0.044897086918354
亜美,12,12,0,f,8.19047318856292E-09
亜美花,2,2,0,f,0.044897086918354
亜耶,4,4,0,f,0.00201574829407036
亜弥,7,7,0,f,1.91762446775101E-05
亜矢,5,5,0,f,0.000427115563070402
亜矢子,14,14,0,f,3.67728375527676E-10
亜由子,2,2,0,f,0.044897086918354
亜由美,9,9,0,f,8.60957527493156E-07
亜夕美,2,2,0,f,0.044897086918354
亜里沙,2,2,0,f,0.044897086918354
愛,72,71,1,f,0.00100000004749745
愛依,2,2,0,f,0.044897086918354
愛佳,2,2,0,f,0.044897086918354
愛花,3,3,0,f,0.00951321329921484
愛華,3,3,0,f,0.00951321329921484
愛結,2,2,0,f,0.044897086918354
