EndChar,SurnameCount,Female,Male,Gender,pVal
月,67,58,9,f,0.00100000004749745
健,219,0,219,m,0.00100000004749745
建,14,0,14,m,0.0356632508337498
憲,152,0,152,m,0.00100000004749745
見,26,12,14,f,0.00300000002607703
謙,20,0,20,m,0.00854563154280186
賢,72,1,71,m,0.00100000004749745
顕,33,0,33,m,0.00400000018998981
元,66,0,66,m,0.00100000004749745
己,216,6,210,m,0.00100000004749745
湖,8,8,0,f,4.06324170398875E-06
伍,25,0,25,m,0.00999999977648258
吾,417,0,417,m,0.00100000004749745
悟,250,0,250,m,0.00100000004749745
瑚,2,2,0,f,0.044897086918354
護,17,1,16,b,0.0972484201192856
倖,2,2,0,f,0.044897086918354
光,320,11,309,m,0.00100000004749745
公,18,1,17,b,0.0803415775299072
功,109,0,109,m,0.00100000004749745
厚,29,0,29,m,0.00600000005215406
向,5,1,4,b,0.712765634059906
好,47,2,45,m,0.00499999988824129
孔,3,1,2,b,0.510489940643311
孝,426,0,426,m,0.00100000004749745
宏,826,1,825,m,0.00100000004749745
巧,49,0,49,m,0.00100000004749745
幸,1145,67,1078,m,0.00100000004749745
広,396,0,396,m,0.00100000004749745
康,168,0,168,m,0.00100000004749745
弘,1097,1,1096,m,0.00100000004749745
恒,22,0,22,m,0.00530784949660301
晃,253,3,250,m,0.00100000004749745
江,251,249,2,f,0.00100000004749745
浩,599,0,599,m,0.00100000004749745
紅,2,2,0,f,0.044897086918354
紘,25,6,19,b,0.899999976158142
航,41,0,41,m,0.00100000004749745
行,848,0,848,m,0.00100000004749745
貢,31,0,31,m,0.00499999988824129
香,487,482,5,f,0.00100000004749745
高,70,0,70,m,0.00100000004749745
剛,306,0,306,m,0.00100000004749745
合,31,31,0,f,0.00100000004749745
豪,46,0,46,m,0.00100000004749745
克,72,0,72,m,0.00100000004749745
根,3,1,2,b,0.510489940643311
佐,23,19,4,f,5.66536262347483E-10
沙,54,54,0,f,0.00100000004749745
瑳,3,1,2,b,0.510489940643311
砂,8,7,1,f,0.000124967264127918
哉,588,0,588,m,0.00100000004749745
彩,54,52,2,f,0.00100000004749745
才,3,1,2,b,0.510489940643311
歳,4,1,3,b,0.614211916923523
采,4,3,1,f,0.0320056080818176
菜,152,152,0,f,0.00100000004749745
冴,5,2,3,b,0.287234365940094
咲,54,52,2,f,0.00100000004749745
作,188,0,188,m,0.00100000004749745
策,17,0,17,m,0.0174575205892324
桜,15,15,0,f,7.79177139476062E-11
三,332,4,328,m,0.00100000004749745
司,1797,0,1797,m,0.00100000004749745
史,1387,4,1383,m,0.00100000004749745
嗣,179,0,179,m,0.00100000004749745
士,368,0,368,m,0.00100000004749745
始,8,1,7,b,0.468950062990189
子,7375,7374,1,f,0.00100000004749745
市,65,0,65,m,0.00100000004749745
志,1261,2,1259,m,0.00100000004749745
枝,174,174,0,f,0.00100000004749745
紫,4,3,1,f,0.0320056080818176
至,56,0,56,m,0.00100000004749745
視,25,4,21,b,0.899999976158142
詞,24,0,24,m,0.0120000001043081
詩,7,1,6,b,0.544257760047913
資,23,0,23,m,0.00418317271396518
児,55,0,55,m,0.00100000004749745
次,428,0,428,m,0.00100000004749745
滋,31,0,31,m,0.00499999988824129
治,1264,0,1264,m,0.00100000004749745
爾,13,0,13,m,0.0452515780925751
七,4,1,3,b,0.614211916923523
実,293,123,170,f,0.00100000004749745
紗,35,35,0,f,0.00100000004749745
若,3,1,2,b,0.510489940643311
守,85,0,85,m,0.00100000004749745
珠,4,3,1,f,0.0320056080818176
寿,105,3,102,m,0.00100000004749745
樹,1958,74,1884,m,0.00100000004749745
周,29,0,29,m,0.00600000005215406
宗,20,0,20,m,0.00854563154280186
修,207,0,207,m,0.00100000004749745
秀,192,1,191,m,0.00100000004749745
秋,70,21,49,b,0.0740000009536743
充,113,1,112,m,0.00100000004749745
重,41,5,36,b,0.899999976158142
淑,8,2,6,b,0.531049966812134
俊,247,1,246,m,0.00100000004749745
春,104,33,71,f,0.00899999961256981
瞬,16,0,16,m,0.0221511032432318
